Title	URL	Author	Page views	Creation date	Status
30 Helpful Organizing Tips	https://assets.msn.com/labs/mind/AAHgjCX.html	lifestylecleaningandorganizing	68.0	Nov 2019	lifestylecleaningandorganizing
It Isn't About Your Love Language; It's About Your Partner's	https://assets.msn.com/labs/mind/AAJ4o0I.html	lifestylelovesex	11.0	Nov 2019	lifestylelovesex
This Is What It's Like to Give Up Alcohol For a Week	https://assets.msn.com/labs/mind/AAGmpeq.html	voices	1009.9999999999999	Nov 2019	voices
Billie Is Normalizing Female Facial Hair By Asking Women to Take Part In Movember	https://assets.msn.com/labs/mind/AAJwi6v.html	wellness	7.0	Nov 2019	wellness
8 Secret Spots You Never Knew Existed in Disney Parks	https://assets.msn.com/labs/mind/AACrqlJ.html	traveltips	6993.0	Nov 2019	traveltips
Survivor Contestant Rudy Boesch Dies at 91 After Long Battle with Alzheimer's Disease	https://assets.msn.com/labs/mind/AAJKOeV.html	tvnews	6.0	Nov 2019	tvnews
10 ways the average American home is different today than it was in the '60s	https://assets.msn.com/labs/mind/AAHcnRn.html	lifestylehomeandgarden	96.0	Nov 2019	lifestylehomeandgarden
Lexus just revealed the pricing for its first-ever luxury yacht   and a fully-loaded model will cost $4.85 million. Here's a closer look at LY 650.	https://assets.msn.com/labs/mind/AAHy9bP.html	autosnews	7348.0	Nov 2019	autosnews
A Suburb South of Boston Loses an Upscale Dinner Destination   and More Restaurant Closings	https://assets.msn.com/labs/mind/AAHcoI3.html	newstrends	5.0	Nov 2019	newstrends
27 natural wonders everyone should see in their lifetime	https://assets.msn.com/labs/mind/AAJ4oEH.html	traveltripideas	27.000000000000004	Nov 2019	traveltripideas
How To Make Hard Boiled Eggs In An Instant Pot (In Half The Time)	https://assets.msn.com/labs/mind/AAHLH0X.html	recipes	494.00000000000006	Nov 2019	recipes
I'm A Queer Woman Dating A Trans Man   & No One Knows	https://assets.msn.com/labs/mind/AAFhwHc.html	voices	16.0	Nov 2019	voices
U.S. cities with the cleanest air	https://assets.msn.com/labs/mind/AAEbEKB.html	weathertopstories	426.0	Nov 2019	weathertopstories
I'm a College Instructor, and This Is the 1 Thing I Wish More Students Did	https://assets.msn.com/labs/mind/AAEbGgT.html	voices	716.9999999999999	Nov 2019	voices
50 Celebrities You Definitely Forgot Busted a Move on 'Dancing With the Stars'	https://assets.msn.com/labs/mind/AAHgv6P.html	tv-gallery	149.0	Nov 2019	tv-gallery
17 moves that will make   or save   you money	https://assets.msn.com/labs/mind/AAJWHEe.html	finance-savemoney	107.0	Nov 2019	finance-savemoney
The most famous game show hosts	https://assets.msn.com/labs/mind/AAJaDmh.html	tv-gallery	1011.0	Nov 2019	tv-gallery
Decorating For the Holidays Just Isn't Worth It to Me or My Kids, So I'm Not Doing It	https://assets.msn.com/labs/mind/AAHuPuc.html	voices	3.0	Nov 2019	voices
Festive Thanksgiving Cocktails You'll Be Truly For	https://assets.msn.com/labs/mind/AAEbTRS.html	beverages	21.0	Nov 2019	beverages
40 Celebrities You Forgot Used to Rock Long Hair	https://assets.msn.com/labs/mind/AAHAx22.html	lifestylecelebstyle	1266.0	Nov 2019	lifestylecelebstyle
31 Ways to Fake a Clean House	https://assets.msn.com/labs/mind/AAHdaCB.html	lifestylecleaningandorganizing	89.0	Nov 2019	lifestylecleaningandorganizing
45 Amazing Facts About Airplanes That Will Make Your Mind Soar	https://assets.msn.com/labs/mind/AAEbYuO.html	traveltips	51.0	Nov 2019	traveltips
2020 Ford Bronco: Everything we know about Ford's new SUV	https://assets.msn.com/labs/mind/AAHLYCO.html	autossuvs	6335.0	Nov 2019	autossuvs
What the world was like when your grandparents were born	https://assets.msn.com/labs/mind/AAEboAX.html	lifestyledidyouknow	67.0	Nov 2019	lifestyledidyouknow
How to Make Perfectly Chewy Chocolate Chip Cookies	https://assets.msn.com/labs/mind/AAIkfLv.html	tipsandtricks	3.0	Nov 2019	tipsandtricks
What property buyers should know about land loans	https://assets.msn.com/labs/mind/AAISzTK.html	finance-real-estate	1499.9999999999998	Nov 2019	finance-real-estate
5 Home Repairs You Should Not Attempt Yourself	https://assets.msn.com/labs/mind/AAIpgMc.html	finance-real-estate	30.0	Nov 2019	finance-real-estate
I tried to order everything on Taco Bell's secret menu, and it was a total disaster	https://assets.msn.com/labs/mind/AAJ4AVx.html	restaurantsandnews	6.0	Nov 2019	restaurantsandnews
I wanted to learn to swim before I turned 30. Easier said than done.	https://assets.msn.com/labs/mind/AACVg1W.html	voices	677.0	Nov 2019	voices
The 7 'coolest' neighborhoods across the US where the food is good, the art scene is hot, and the culture is thriving	https://assets.msn.com/labs/mind/AAIpr71.html	traveltripideas	3.0	Nov 2019	traveltripideas
30 nature photos that will change the way you see the world	https://assets.msn.com/labs/mind/AAI4gaK.html	lifestyledidyouknow	18.0	Nov 2019	lifestyledidyouknow
Selfies In Sports	https://assets.msn.com/labs/mind/AA9ZnAT.html	more_sports	3686.0000000000005	Nov 2019	more_sports
Next-gen Cadillac Escalade spied with grille uncovered for the first time	https://assets.msn.com/labs/mind/AAIfFiR.html	autossuvs	3.0	Nov 2019	autossuvs
18 Things Animal Shelters Desperately Need Right Now	https://assets.msn.com/labs/mind/AAJaEMg.html	lifestylepetsanimals	16.0	Nov 2019	lifestylepetsanimals
Eco-Friendly Décor Items You Can Add at Home	https://assets.msn.com/labs/mind/AAJl7ch.html	lifestylehomeandgarden	3.0	Nov 2019	lifestylehomeandgarden
K-9 Officer Meets the Woman Who Provided the Bulletproof Vest That Saved Him	https://assets.msn.com/labs/mind/AAJJeve.html	newsgoodnews	5.0	Nov 2019	newsgoodnews
The best mac and cheese in every state	https://assets.msn.com/labs/mind/AAJaEPb.html	foodnews	990.0	Nov 2019	foodnews
13 Billion-Dollar City Projects That Will Save You Money	https://assets.msn.com/labs/mind/AAJ0BJo.html	financenews	144.0	Nov 2019	financenews
11 Powerful Products That Cut Your Cleaning Time in Half	https://assets.msn.com/labs/mind/AAJ0BL1.html	lifestylecleaningandorganizing	62.0	Nov 2019	lifestylecleaningandorganizing
10 Incredible Home Updates That Are Totally Reversible	https://assets.msn.com/labs/mind/AAHBAGj.html	lifestylehomeandgarden	9.0	Nov 2019	lifestylehomeandgarden
50 Christmas Bible Verses to Celebrate the Reason for the Season	https://assets.msn.com/labs/mind/AAG1NhR.html	holidays	20.0	Nov 2019	holidays
This Is What the 2020 Toyota Supra Should've Looked Like From the Start	https://assets.msn.com/labs/mind/AAJWIF8.html	autosenthusiasts	2976.0	Nov 2019	autosenthusiasts
This Guy Lost 30 Pounds and Gained a Rock-Hard Six Pack	https://assets.msn.com/labs/mind/AAI4mSg.html	weightloss	5653.0	Nov 2019	weightloss
Texting Thumb Hurts, and It's Your Valid Excuse to Finally Unplug	https://assets.msn.com/labs/mind/AAJWIqN.html	wellness	320.0	Nov 2019	wellness
You'll Be Captivated by Ciara's Best Hair and Makeup Looks	https://assets.msn.com/labs/mind/AAHBhNR.html	lifestylecelebstyle	1577.0	Nov 2019	lifestylecelebstyle
Arizona Wildcats 2019 football schedule and results	https://assets.msn.com/labs/mind/AAG25Lm.html	basketball_ncaa	14.0	Nov 2019	basketball_ncaa
Arizona State Sun Devils 2019 football schedule and results	https://assets.msn.com/labs/mind/AAG2cJg.html	basketball_ncaa	3.0	Nov 2019	basketball_ncaa
I Kissed Dieting Goodbye, and Finally Lost 20 Pounds. Here's Why.	https://assets.msn.com/labs/mind/AAFqJGx.html	voices	642.0	Nov 2019	voices
Fall foliage 2019: Map shows where and when to expect peak autumn colors	https://assets.msn.com/labs/mind/AAIlzuO.html	weathertopstories	58.0	Nov 2019	weathertopstories
Trusty reusable coffee cups to keep your coffee hot and wallet full	https://assets.msn.com/labs/mind/AAFqY1P.html	newsscienceandtechnology	3.0	Nov 2019	newsscienceandtechnology
Bucket-List Food Experiences in Every State	https://assets.msn.com/labs/mind/AAFqces.html	newstrends	3687.0	Nov 2019	newstrends
Trailer - The Warrior Queen of Jhansi	https://assets.msn.com/labs/mind/AAHMQTW.html	movievideo	7.0	Nov 2019	movievideo
Trailer - Full Count	https://assets.msn.com/labs/mind/AAHMQU1.html	movievideo	7.0	Nov 2019	movievideo
Trailer - Bombshell	https://assets.msn.com/labs/mind/AAISJw9.html	movievideo	324.0	Nov 2019	movievideo
Daphne Oz Just Shared the Most Relatable Abs Photo 10 Weeks After Giving Birth	https://assets.msn.com/labs/mind/AAJQFgT.html	wellness	72.0	Nov 2019	wellness
Why I Finally Forgave My Father's Mistress	https://assets.msn.com/labs/mind/AAISK0r.html	voices	18.0	Nov 2019	voices
30 things you should never buy without a coupon	https://assets.msn.com/labs/mind/AAEscLn.html	finance-savemoney	8.0	Nov 2019	finance-savemoney
20 Crazy Cleaning Tips That Actually Work	https://assets.msn.com/labs/mind/AAIqKjW.html	lifestylecleaningandorganizing	36.0	Nov 2019	lifestylecleaningandorganizing
Trailer - Scandalous	https://assets.msn.com/labs/mind/AAIqL8S.html	movievideo	32.0	Nov 2019	movievideo
America's best inexpensive steakhouses	https://assets.msn.com/labs/mind/AAJwkjv.html	restaurantsandnews	3851.0	Nov 2019	restaurantsandnews
Trailer - Abominable	https://assets.msn.com/labs/mind/AAHMVAC.html	movievideo	3.0	Nov 2019	movievideo
These 30 Incredible Kids Really Changed the World	https://assets.msn.com/labs/mind/AAHMVDE.html	newsgoodnews	1990.9999999999998	Nov 2019	newsgoodnews
Fact check: Trump falsely claims his 2000 book demanded the killing of Osama bin Laden	https://assets.msn.com/labs/mind/AAJrIoV.html	newsfactcheck	30.0	Nov 2019	newsfactcheck
A Look Back at Prince Charles and Camilla's Relationship Through the Years	https://assets.msn.com/labs/mind/AAEtlbD.html	lifestyleroyals	440.00000000000006	Nov 2019	lifestyleroyals
The Diet You Need for Healthy Lungs	https://assets.msn.com/labs/mind/AAHMXC9.html	nutrition	223.0	Nov 2019	nutrition
These Photos Prove Jennifer Aniston Has Barely Aged Over The Years	https://assets.msn.com/labs/mind/AAG4uO0.html	tv-celebrity	16.0	Nov 2019	tv-celebrity
Trailer - The Kingmaker	https://assets.msn.com/labs/mind/AAIqPJy.html	movievideo	4.0	Nov 2019	movievideo
My Immigrant Parents Wanted A Better Life For Me. This Is Why I Chose My Path Over Theirs.	https://assets.msn.com/labs/mind/AAHxFzL.html	voices	3098.0	Nov 2019	voices
My Dad Didn't Raise Me To Be a Boy   He Raised Me To Be a Confident Girl	https://assets.msn.com/labs/mind/AAI5nh4.html	voices	964.0	Nov 2019	voices
I Spent $100K on My Wedding. Here's Why It Was Worth It.	https://assets.msn.com/labs/mind/AAHMYfi.html	voices	1145.0	Nov 2019	voices
HOUSTON WEATHER: Chilly weekend ahead, stormy next week	https://assets.msn.com/labs/mind/AAEnUUs.html	weathertopstories	100.99999999999999	Nov 2019	weathertopstories
Lady Gaga Opens Up to Oprah About Trauma, Self-Harm, and Choosing Kindness	https://assets.msn.com/labs/mind/AAJWLTW.html	music-celebrity	167.0	Nov 2019	music-celebrity
Trailer - Dolittle	https://assets.msn.com/labs/mind/AAJaFzo.html	movienews	688.0	Nov 2019	movienews
Industries Where Your Job Is Most Likely To Get Outsourced	https://assets.msn.com/labs/mind/AAIO78M.html	finance-career	268.0	Nov 2019	finance-career
See every outfit Duchess Meghan wore in 2019	https://assets.msn.com/labs/mind/AAHMizK.html	lifestyleroyals	444.0	Nov 2019	lifestyleroyals
21 images that tell the story of the 2015 Paris attacks	https://assets.msn.com/labs/mind/AAJWLjL.html	newsworld	215.0	Nov 2019	newsworld
Super-Rare 1976 Ferrari 308 GTB Vetroresina Selling For Under $200K	https://assets.msn.com/labs/mind/AAEq0e7.html	autosclassics	978.9999999999999	Nov 2019	autosclassics
Here's What It Means If You Have Ridges on Your Nails	https://assets.msn.com/labs/mind/AAG7Lr3.html	medical	1847.0	Nov 2019	medical
Operating costs: Understanding & reducing them for your small business	https://assets.msn.com/labs/mind/AAIO7mD.html	financenews	12.0	Nov 2019	financenews
Why Are Uterine Cancer Rates Rising So Drastically in Black Women?	https://assets.msn.com/labs/mind/AAJWM6y.html	medical	83.00000000000001	Nov 2019	medical
States with the most farmland	https://assets.msn.com/labs/mind/AAIqfo2.html	markets	373.0	Nov 2019	markets
I just went to Wegmans for the first time, and now I see why the grocery chain has such a massive cult following	https://assets.msn.com/labs/mind/AAJJjFv.html	newsphotos	17.0	Nov 2019	newsphotos
When You're Buried In Apples, Homemade Applesauce Is The Only Reasonable Plan	https://assets.msn.com/labs/mind/AAJWMNQ.html	recipes	8.0	Nov 2019	recipes
Entertaining recipes: Make Valerie Bertinelli's garlic chicken	https://assets.msn.com/labs/mind/AAG7lQv.html	videos	3.0	Nov 2019	videos
Sorry, But Beyond Burgers Are No Better Nutritionally Than A Beef Burger	https://assets.msn.com/labs/mind/AAARc7l.html	nutrition	6.0	Nov 2019	nutrition
Fast Casual Korean Restaurant Opens New Capitol Hill Location	https://assets.msn.com/labs/mind/AAHMqTy.html	newstrends	60.0	Nov 2019	newstrends
Motorola Razr V4 release date, price, news and leaks	https://assets.msn.com/labs/mind/AAG7vxP.html	newsscienceandtechnology	19.0	Nov 2019	newsscienceandtechnology
Chevy Silverado ZRX Spied Showing Off Rugged Details	https://assets.msn.com/labs/mind/AAJlLWS.html	autostrucks	329.00000000000006	Nov 2019	autostrucks
The 100 best games ever	https://assets.msn.com/labs/mind/AAJWMcG.html	gaming	9.0	Nov 2019	gaming
These Are The World's Most Magical Christmas Villages to Visit This Year	https://assets.msn.com/labs/mind/AAG8dIM.html	travelarticle	447.99999999999994	Nov 2019	travelarticle
A Beer Expert Tries 12 Pumpkin Beers	https://assets.msn.com/labs/mind/AAISLQH.html	videos	67.0	Nov 2019	videos
Target's Black Friday Sales for 2019 Will Be Incredible	https://assets.msn.com/labs/mind/AAG8i2n.html	shop-holidays	57.00000000000001	Nov 2019	shop-holidays
No one wants to buy this $6.5 million century-old church-turned luxe townhome once owned by a tech CEO in San Francisco   take a look inside	https://assets.msn.com/labs/mind/AAJJjX3.html	newsphotos	41.0	Nov 2019	newsphotos
The 50 Most Common Last Names in America	[]	lifestylefamilyandrelationships	33.0	Nov 2019	lifestylefamilyandrelationships
Best all-inclusive resorts in the world	https://assets.msn.com/labs/mind/AAJA0ac.html	traveltripideas	5512.999999999999	Nov 2019	traveltripideas
After two Indianapolis postponements, country band Alabama makes plans for 2020 show	https://assets.msn.com/labs/mind/AAG8jSO.html	musicnews	3.0	Nov 2019	musicnews
This is the average Social Security check in each state	https://assets.msn.com/labs/mind/AAJaHEC.html	finance-retirement	5.0	Nov 2019	finance-retirement
Listen to the Detroit Free Press with Amazon Alexa or Google Assistant	https://assets.msn.com/labs/mind/AAG8jbK.html	newsscienceandtechnology	3.0	Nov 2019	newsscienceandtechnology
These Bubble-gum Pink Lakes in Australia Are One of Nature's Most Unusual Wonders	https://assets.msn.com/labs/mind/AAJKSnG.html	traveltripideas	4.0	Nov 2019	traveltripideas
40 Health Myths Women Need to Stop Believing	https://assets.msn.com/labs/mind/AAIoRgc.html	wellness	457.0	Nov 2019	wellness
Who Wore It Better? 10 Names Shared by Automakers	https://assets.msn.com/labs/mind/AAJJjkM.html	autosenthusiasts	8.0	Nov 2019	autosenthusiasts
35 Pet Peeves Interior Designers Have About Your Home	https://assets.msn.com/labs/mind/AAGzSHK.html	lifestylehomeandgarden	170.0	Nov 2019	lifestylehomeandgarden
We compared Popeyes' discontinued chicken Po' Boy to its new fried chicken sandwich	https://assets.msn.com/labs/mind/AAGzSle.html	restaurantsandnews	16.0	Nov 2019	restaurantsandnews
50 Longest-Living Animals in the World	https://assets.msn.com/labs/mind/AAJA1J2.html	lifestylepetsanimals	89.99999999999999	Nov 2019	lifestylepetsanimals
The world's cutest homes are beyond beautiful	https://assets.msn.com/labs/mind/AAJEY67.html	lifestylehomeandgarden	11.0	Nov 2019	lifestylehomeandgarden
The Before-And-After Photos of This Man Who's Three Years Sober Will Amaze You	https://assets.msn.com/labs/mind/AAJWNfH.html	wellness	900.0	Nov 2019	wellness
Starbucks unveils its 2019 holiday cups	https://assets.msn.com/labs/mind/AAJWNpQ.html	finance-companies	1528.0	Nov 2019	finance-companies
24 affordable gifts your husband will appreciate this holiday season	https://assets.msn.com/labs/mind/AAC5XMt.html	shop-holidays	267.0	Nov 2019	shop-holidays
The countries that no longer exist	https://assets.msn.com/labs/mind/AACF9ui.html	newsworld	65.0	Nov 2019	newsworld
Here's how Trump could be impeached, removed from office, and still win re-election in 2020	https://assets.msn.com/labs/mind/AAJWNuc.html	newspolitics	506.0	Nov 2019	newspolitics
These are Best Home Decor Outlet Stores in the Country	https://assets.msn.com/labs/mind/AACFCmD.html	lifestyledecor	56.0	Nov 2019	lifestyledecor
So What Exactly is Semi Gloss Paint, Anyway?	https://assets.msn.com/labs/mind/AACFPm0.html	lifestyledecor	109.0	Nov 2019	lifestyledecor
35 musicians you should see live at least once in your life	https://assets.msn.com/labs/mind/AAJfXsG.html	music-gallery	5909.0	Nov 2019	music-gallery
From Salvador Dali to Tom Selleck: 25 pictures to inspire anyone growing a mustache for men's health issues for Movember	https://assets.msn.com/labs/mind/AAJEYQH.html	lifestylebuzz	43.0	Nov 2019	lifestylebuzz
8 Self-Help Books That Are Actually Worth Reading	https://assets.msn.com/labs/mind/AAJWOHp.html	entertainment-books	111.00000000000001	Nov 2019	entertainment-books
Dog Learning to Talk By Using a Custom Soundboard to Speak: 'I'm in Constant Amazement'	https://assets.msn.com/labs/mind/AAJQHcG.html	lifestylebuzz	790.9999999999999	Nov 2019	lifestylebuzz
6 Common Myths About the Flu Shot, Debunked	https://assets.msn.com/labs/mind/AAJJkJz.html	medical	14.0	Nov 2019	medical
40 Best Belly-Shrinking Foods	https://assets.msn.com/labs/mind/AAB5Uv8.html	nutrition	759.0	Nov 2019	nutrition
Archie's Photo Album: Prince Harry, Duchess Meghan's Royal Baby	https://assets.msn.com/labs/mind/AAB5lYO.html	lifestyleroyals	2316.0	Nov 2019	lifestyleroyals
Injuries Across the NBA	https://assets.msn.com/labs/mind/AAJaHx8.html	basketball_nba	3.0	Nov 2019	basketball_nba
27 handmade alternatives to buying gifts for the home	https://assets.msn.com/labs/mind/AAJQHjZ.html	lifestylediy	4.0	Nov 2019	lifestylediy
Good Samaritan Dressed as Superman Saves Family From House Fire	https://assets.msn.com/labs/mind/AAJWOOt.html	newsgoodnews	93.0	Nov 2019	newsgoodnews
Porsche 911 Targa Spied On Gorgeous Fall Roads	https://assets.msn.com/labs/mind/AAJaHxC.html	autosnews	52.0	Nov 2019	autosnews
Lisa Jewell's suspenseful new novel 'The Family Upstairs' keeps the reader guessing	https://assets.msn.com/labs/mind/AAJWOWy.html	entertainment-books	4.0	Nov 2019	entertainment-books
Subtle Signs You May Have Clogged Arteries	https://assets.msn.com/labs/mind/AAH1VSo.html	medical	1959.0	Nov 2019	medical
